id_sample,sample_name,plot,rep,experiment,treatment,season,measurment,sampling_identifier,LAI_FILE,VERSION,DATE,TIME,PROMPT1,RESP1,PROMPT2,RESP2,TRANSCOMP,MODEL,GPSLAT,GPSLONG,GPSALT,GPSHDOP,GPSNUM,LAI,SEL,ACF,DIFN,MTA,SEM,SMP
50_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,50,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-050B,2.0.3,20220801,16:34:39,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.910,0.4697,0.7922,0.09886,42.50,3.231,4
51_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,51,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-051A,2.0.3,20220801,16:36:03,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,4.109,0.4616,0.9283,0.03786,41.27,0.6867,3
51_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,51,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-051B,2.0.3,20220801,16:35:15,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.678,0.3684,0.8524,0.1344,44.40,5.328,4
52_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,52,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-052A,2.0.3,20220801,16:38:17,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.308,0.7606,0.7294,0.07259,41.93,5.492,4
52_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,52,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-052B,2.0.3,20220801,16:39:41,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.970,0.8241,0.6792,0.04337,42.53,1.071,4
53_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,53,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-053A,2.0.3,20220801,16:42:13,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.458,0.5242,0.8314,0.06953,43.60,6.760,4
53_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,53,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-053B,2.0.3,20220801,16:43:05,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.126,0.5513,0.7671,0.08800,40.30,1.847,4
54_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,54,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-054A,2.0.3,20220801,16:43:41,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.351,0.6104,0.7742,0.07732,37.74,3.717,4
54_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,54,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-054B,2.0.3,20220801,16:44:58,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.891,0.6145,0.7938,0.04578,42.57,1.600,4
55_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,55,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-055A,2.0.3,20220801,16:46:02,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.361,0.3742,0.8697,0.07853,46.44,5.107,4
55_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,55,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-055B,2.0.3,20220801,16:46:31,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.761,0.2832,0.8930,0.05175,41.12,0.5927,3
56_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,56,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-056A,2.0.3,20220801,16:48:19,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.302,0.4627,0.8790,0.09196,57.14,4.564,4
56_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,56,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-056B,2.0.3,20220801,16:48:47,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,4.133,0.4729,0.9318,0.03850,34.21,7.224,3
57_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,57,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-057A,2.0.3,20220801,16:49:29,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.967,0.2407,0.9634,0.04436,42.59,2.070,3
57_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,57,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-057B,2.0.3,20220801,16:50:00,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.475,0.5804,0.7720,0.06248,42.72,2.883,4
58_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,58,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-058A,2.0.3,20220801,16:50:30,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,4.408,0.4422,0.9380,0.03054,41.18,1.948,3
58_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,58,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-058B,2.0.3,20220801,16:51:03,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.692,0.4164,0.9123,0.05300,41.35,3.034,3
59_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,59,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-059A,2.0.3,20220801,16:52:58,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.548,0.3614,0.9106,0.07419,54.61,4.357,4
59_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,59,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-059B,2.0.3,20220801,16:53:28,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,4.544,0.7149,0.8053,0.04236,51.07,7.676,3
60_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,60,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-060A,2.0.3,20220801,16:54:10,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.111,0.1709,0.9576,0.09815,48.88,3.708,4
60_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,60,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-060B,2.0.3,20220801,16:54:36,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.819,0.4144,0.8896,0.1117,45.54,2.500,4
61_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,61,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-061A,2.0.3,20220801,16:55:57,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,4.066,0.3071,0.9656,0.04170,42.09,1.229,3
61_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,61,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-061B,2.0.3,20220801,16:56:29,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.333,0.6085,0.7779,0.07437,41.25,3.199,4
62_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,62,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-062A,2.0.3,20220801,16:57:50,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.070,0.6002,0.8233,0.09595,46.96,5.373,4
62_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,62,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-062B,2.0.3,20220801,16:58:18,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,5.244,0.4228,0.9443,0.01624,38.67,5.011,3
63_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,63,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-063A,2.0.3,20220801,16:58:57,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,1.629,0.3961,0.8408,0.2850,41.31,3.913,4
63_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,63,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-063B,2.0.3,20220801,16:59:33,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.520,0.5592,0.7903,0.1536,52.56,4.878,3
64_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,64,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-064A,2.0.3,20220801,17:00:54,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.638,0.4171,0.9126,0.05971,43.27,4.958,4
64_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,64,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-064B,2.0.3,20220801,17:01:23,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.562,0.6110,0.7865,0.06253,42.99,1.675,4
65_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,65,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-065A,2.0.3,20220801,17:01:52,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.977,0.07975,0.9335,0.1005,47.71,2.949,4
65_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,65,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-065B,2.0.3,20220801,17:02:22,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.669,0.09079,0.9901,0.05302,40.26,1.629,3
66_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,66,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-066A,2.0.3,20220801,17:02:51,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.741,0.4606,0.8601,0.05066,39.13,2.108,4
66_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,66,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-066B,2.0.3,20220801,17:03:18,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.731,0.5111,0.8539,0.05083,38.15,1.646,4
67_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,67,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-067A,2.0.3,20220801,17:10:29,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.086,0.2593,0.9448,0.1054,50.09,6.109,4
67_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,67,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-067B,2.0.3,20220801,17:10:55,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.269,0.7602,0.7986,0.07978,42.74,6.082,3
68_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,68,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-068A,2.0.3,20220801,17:11:50,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.232,0.5223,0.8410,0.07946,43.03,6.831,4
68_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,68,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-068B,2.0.3,20220801,17:12:19,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.778,0.7570,0.6874,0.1132,39.43,3.258,4
69_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,69,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-069A,2.0.3,20220801,17:12:55,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.294,0.6344,0.7941,0.07130,42.19,3.101,4
69_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,69,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-069B,2.0.3,20220801,17:13:29,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.852,0.7809,0.6788,0.04560,41.80,4.801,4
70_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,70,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-070A,2.0.3,20220801,17:14:03,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,1.314,0.2369,0.9169,0.3645,54.73,7.264,4
70_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,70,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-070B,2.0.3,20220801,17:14:51,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.402,0.8540,0.7365,0.1526,46.48,2.928,3
71_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,71,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-071A,2.0.3,20220801,17:15:21,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.434,0.5337,0.7799,0.1492,44.86,3.473,4
71_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,71,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-071B,2.0.3,20220801,17:16:04,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.395,0.3493,0.8715,0.1569,44.18,0.8555,4
72_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,72,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-072A,2.0.3,20220801,17:16:48,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.200,0.3471,0.8641,0.1710,41.63,3.996,4
72_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,72,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-072B,2.0.3,20220801,17:17:19,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.716,0.4798,0.8295,0.1222,41.78,1.497,4
73_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,73,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-073A,2.0.3,20220801,17:17:58,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.550,0.4787,0.8423,0.1290,35.25,4.325,4
73_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,73,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-073B,2.0.3,20220801,17:18:39,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.610,0.7964,0.6279,0.06966,52.84,5.642,4
74_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,74,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-074A,2.0.3,20220801,17:19:27,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.569,0.4732,0.8245,0.1286,39.44,4.166,4
74_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,74,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-074B,2.0.3,20220801,17:20:07,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.059,0.5660,0.7899,0.09408,33.92,6.489,4
75_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,75,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-075A,2.0.3,20220801,17:20:44,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.936,0.5922,0.7790,0.09457,40.23,2.087,4
75_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,75,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-075B,2.0.3,20220801,17:21:15,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.155,0.7853,0.7614,0.08273,43.88,5.989,3
76_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,76,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-076A,2.0.3,20220801,17:21:52,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.653,0.5613,0.7816,0.1259,25.30,14.62,4
76_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,76,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-076B,2.0.3,20220801,17:22:54,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,4.215,0.5483,0.8342,0.03622,40.01,2.081,4
77_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,77,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-077A,2.0.3,20220801,17:23:33,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.569,0.5328,0.8476,0.06878,41.64,2.887,4
77_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,77,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-077B,2.0.3,20220801,17:23:56,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,4.103,0.6709,0.8103,0.03717,41.47,3.069,4
78_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,78,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-078A,2.0.3,20220801,17:24:25,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,4.186,0.09876,0.9788,0.03622,40.09,1.155,4
78_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,78,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-078B,2.0.3,20220801,17:24:53,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,4.261,0.6630,0.7814,0.03379,37.78,3.086,4
79_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,79,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-079A,2.0.3,20220801,17:25:50,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.546,0.2702,0.8796,0.05956,40.68,0.4818,4
79_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,79,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-079B,2.0.3,20220801,17:26:16,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,4.494,0.6960,0.7981,0.02802,39.15,2.981,4
80_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,80,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-080A,2.0.3,20220801,17:26:56,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.850,0.4878,0.8343,0.1025,42.49,4.020,4
80_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,80,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-080B,2.0.3,20220801,17:27:27,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.096,0.6567,0.7258,0.08460,40.88,1.782,4
81_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,81,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-081A,2.0.3,20220801,17:28:02,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.131,0.6573,0.7523,0.08512,38.01,4.302,4
81_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,81,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-081B,2.0.3,20220801,17:28:46,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.115,0.7737,0.6550,0.08152,35.96,2.491,4
82_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,82,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-082A,2.0.3,20220801,17:29:51,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,1.820,0.3062,0.8849,0.2341,41.34,2.568,4
82_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,82,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-082B,2.0.3,20220801,17:30:24,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.819,0.2358,0.9426,0.1091,42.60,3.351,3
83_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,83,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-083A,2.0.3,20220801,17:31:00,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.431,0.4624,0.8339,0.1424,41.69,1.455,4
83_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,83,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-083B,2.0.3,20220801,17:31:28,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.963,0.4460,0.8835,0.04139,40.15,2.266,3
84_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,84,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-084A,2.0.3,20220801,17:33:12,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.271,0.5367,0.8039,0.1667,39.09,4.284,4
84_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,84,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-084B,2.0.3,20220801,17:34:00,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.279,1.123,0.6025,0.07185,38.58,1.834,3
85_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,85,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-085A,2.0.3,20220801,17:35:42,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.560,1.113,0.6067,0.05742,41.75,3.588,4
85_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,85,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-085B,2.0.3,20220801,17:36:22,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.971,0.6001,0.7416,0.09255,39.50,2.056,4
86_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,86,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-086A,2.0.3,20220801,17:37:15,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.989,0.7444,0.7241,0.09465,40.72,1.545,4
86_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,86,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-086B,2.0.3,20220801,17:37:51,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.613,0.7155,0.6726,0.1232,39.72,3.251,4
87_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,87,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-087A,2.0.3,20220801,17:39:20,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.604,0.7062,0.7563,0.05508,37.77,2.707,4
87_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,87,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-087B,2.0.3,20220801,17:40:03,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.309,0.8463,0.5897,0.06987,39.19,1.899,4
88_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,88,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-088A,2.0.3,20220801,17:40:54,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,4.310,0.03817,0.9892,0.04439,18.63,20.42,2
88_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,88,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-088B,2.0.3,20220801,17:42:28,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.213,0.8063,0.6145,0.1707,44.59,8.340,4
89_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,89,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-089A,2.0.3,20220801,17:45:26,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.300,0.4498,0.8610,0.08241,48.44,5.040,4
89_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,89,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-089B,2.0.3,20220801,17:46:26,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.860,0.4671,0.8881,0.1259,38.03,4.818,3
90_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,90,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-090A,2.0.3,20220801,17:47:01,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,4.384,0.2825,0.9080,0.03627,48.06,4.723,4
90_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,90,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-090B,2.0.3,20220801,17:47:30,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,5.214,0.1232,0.9493,0.01860,43.92,3.522,3
91_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,91,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-091A,2.0.3,20220801,17:48:15,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.821,0.6517,0.8184,0.05845,48.71,0.7429,4
91_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,91,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-091B,2.0.3,20220801,17:48:54,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,4.176,0.4516,0.9165,0.03620,40.29,0.6303,3
92_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,92,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-092A,2.0.3,20220801,17:49:25,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.310,0.6824,0.8038,0.08772,48.94,3.166,4
92_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,92,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-092B,2.0.3,20220801,17:49:54,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.706,0.6617,0.8788,0.05368,38.70,1.329,3
93_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,93,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-093A,2.0.3,20220801,17:50:31,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.447,0.3170,0.9117,0.07666,48.88,2.142,4
